cohort_class,prefix_len,precision_path,effect,n,mean,std,ci95_low,ci95_high
collapse,0,fp32_projection,combined_effect_M11_minus_M00,32,7.3369457721710205,0.9935593309128892,6.99790028296411,7.677389161661267
collapse,0,fp32_projection,interaction,32,0.29398955404758453,0.4517247134953117,0.1444543194025755,0.4506794553250074
collapse,0,fp32_projection,sla_effect_M01_minus_M00,32,-0.8106238842010498,0.1305037167607919,-0.8537456452846527,-0.7659864656627179
collapse,0,fp32_projection,vsv_effect_M10_minus_M00,32,7.853580102324486,0.8700547871997137,7.5638225570321085,8.154759581759572
collapse,0,release_native,combined_effect_M11_minus_M00,32,7.337890625,0.9935597413097067,7.010980224609375,7.6807861328125
collapse,0,release_native,interaction,32,0.295654296875,0.45447262658782306,0.13902893066406252,0.4497192382812498
collapse,0,release_native,sla_effect_M01_minus_M00,32,-0.810791015625,0.1298476344323809,-0.85302734375,-0.764404296875
collapse,0,release_native,vsv_effect_M10_minus_M00,32,7.85302734375,0.8710537711876789,7.55638427734375,8.14405517578125
collapse,1,fp32_projection,combined_effect_M11_minus_M00,32,5.381331115961075,0.8941360270692242,5.092654502391815,5.689793759584427
collapse,1,fp32_projection,interaction,32,0.21279796957969666,0.6026813212487876,0.01728111431002617,0.42491445466876027
collapse,1,fp32_projection,sla_effect_M01_minus_M00,32,-2.183673918247223,0.19082223675664908,-2.251524941623211,-2.120088793337345
collapse,1,fp32_projection,vsv_effect_M10_minus_M00,32,7.352207064628601,0.8159664334819451,7.072226013243198,7.638506744801998
collapse,1,release_native,combined_effect_M11_minus_M00,32,5.3814697265625,0.893702794951096,5.079586791992187,5.692388916015625
collapse,1,release_native,interaction,32,0.2100830078125,0.602041577123431,0.011465454101562508,0.422119140625
collapse,1,release_native,sla_effect_M01_minus_M00,32,-2.1812744140625,0.19157425398975797,-2.251220703125,-2.1177947998046873
collapse,1,release_native,vsv_effect_M10_minus_M00,32,7.3526611328125,0.8156762431031314,7.08128662109375,7.6337890625
collapse,3,fp32_projection,combined_effect_M11_minus_M00,32,0.31983938813209534,1.577258920996494,-0.17176375165581703,0.9022351235151289
collapse,3,fp32_projection,interaction,32,-0.6830050647258759,0.2737331823721105,-0.7749207578599453,-0.5897363215684891
collapse,3,fp32_projection,sla_effect_M01_minus_M00,32,-2.6589933335781097,0.4737722033233276,-2.810645252466202,-2.4891438722610473
collapse,3,fp32_projection,vsv_effect_M10_minus_M00,32,3.661837786436081,1.3149502588054713,3.2480131164193153,4.157512548565864
collapse,3,release_native,combined_effect_M11_minus_M00,32,0.3160400390625,1.5795576475823654,-0.177001953125,0.8932037353515623
collapse,3,release_native,interaction,32,-0.682861328125,0.27048819410707037,-0.77294921875,-0.5909393310546875
collapse,3,release_native,sla_effect_M01_minus_M00,32,-2.660888671875,0.47389070158368113,-2.8153076171875,-2.491082763671875
collapse,3,release_native,vsv_effect_M10_minus_M00,32,3.6597900390625,1.3155055111586416,3.256341552734375,4.1347900390625
collapse,5,fp32_projection,combined_effect_M11_minus_M00,32,1.3538391590118408,2.3403142373340593,0.6465421587228775,2.2206942178308964
collapse,5,fp32_projection,interaction,32,-0.6900462508201599,0.6262150628586182,-0.907962690293789,-0.4828515574336052
collapse,5,fp32_projection,sla_effect_M01_minus_M00,32,-2.290409654378891,1.227026020768834,-2.705430530011654,-1.8615691229701044
collapse,5,fp32_projection,vsv_effect_M10_minus_M00,32,4.334295064210892,2.0148912086295785,3.7553248524665834,5.122129759192466
collapse,5,release_native,combined_effect_M11_minus_M00,32,1.3553314208984375,2.3413939062723537,0.6376583099365235,2.2224090576171873
collapse,5,release_native,interaction,32,-0.691558837890625,0.6264948587989126,-0.9053733825683594,-0.47814102172851575
collapse,5,release_native,sla_effect_M01_minus_M00,32,-2.289398193359375,1.229325260755991,-2.7013275146484377,-1.8739883422851564
collapse,5,release_native,vsv_effect_M10_minus_M00,32,4.3362884521484375,2.015960017751258,3.74979248046875,5.107220458984375
collapse,10,fp32_projection,combined_effect_M11_minus_M00,32,0.43090400099754333,1.8487514205961104,-0.19609128683805463,1.0678743347525592
collapse,10,fp32_projection,interaction,32,-0.76815265417099,0.4354512989567563,-0.9162549927830697,-0.6187010549008847
collapse,10,fp32_projection,sla_effect_M01_minus_M00,32,-2.197362035512924,1.0345542519827255,-2.5606974214315414,-1.8556845895946026
collapse,10,fp32_projection,vsv_effect_M10_minus_M00,32,3.3964186906814575,1.1754318523438614,3.0046860702335834,3.793536875396967
collapse,10,release_native,combined_effect_M11_minus_M00,32,0.43194580078125,1.8480076744751652,-0.18964996337890624,1.0821640014648435
collapse,10,release_native,interaction,32,-0.768646240234375,0.4371040316859442,-0.91287841796875,-0.6183456420898438
collapse,10,release_native,sla_effect_M01_minus_M00,32,-2.196441650390625,1.0344707385410585,-2.5595771789550783,-1.84661865234375
collapse,10,release_native,vsv_effect_M10_minus_M00,32,3.39703369140625,1.174490762859825,3.0040267944335937,3.8040939331054684
control,0,fp32_projection,combined_effect_M11_minus_M00,32,6.851908802986145,0.9146503085156015,6.561798640340567,7.17842136323452
control,0,fp32_projection,interaction,32,0.15069064497947693,0.3543453637841688,0.029992699623107917,0.27300401255488393
control,0,fp32_projection,sla_effect_M01_minus_M00,32,-0.7658655345439911,0.14905169164902438,-0.8146251022815705,-0.7145220376551151
control,0,fp32_projection,vsv_effect_M10_minus_M00,32,7.467083692550659,0.9349168067709913,7.155338859558105,7.79535199329257
control,0,release_native,combined_effect_M11_minus_M00,32,6.8538818359375,0.9133249256656338,6.5535736083984375,7.1831420898437495
control,0,release_native,interaction,32,0.1519775390625,0.3545312591285039,0.03369140625,0.27356262207031246
control,0,release_native,sla_effect_M01_minus_M00,32,-0.7666015625,0.14748273695281336,-0.8154296875,-0.71435546875
control,0,release_native,vsv_effect_M10_minus_M00,32,7.468505859375,0.9323985114818407,7.167962646484375,7.800054931640625
control,1,fp32_projection,combined_effect_M11_minus_M00,32,5.093481659889221,1.0485783825364636,4.742465404421091,5.452322416752577
control,1,fp32_projection,interaction,32,0.16565367579460144,0.5647441863429474,-0.02025709077715873,0.36168284043669685
control,1,fp32_projection,sla_effect_M01_minus_M00,32,-2.1606227457523346,0.1507191576784273,-2.21215248182416,-2.1083421051502227
control,1,fp32_projection,vsv_effect_M10_minus_M00,32,7.088450729846954,0.9397691178570617,6.775563683360815,7.420233009010554
control,1,release_native,combined_effect_M11_minus_M00,32,5.09326171875,1.0486830414348367,4.743890380859375,5.450442504882813
control,1,release_native,interaction,32,0.1668701171875,0.5644857024857428,-0.023562622070312497,0.3619384765625
control,1,release_native,sla_effect_M01_minus_M00,32,-2.1614990234375,0.1518522020266953,-2.2142333984375,-2.1097381591796873
control,1,release_native,vsv_effect_M10_minus_M00,32,7.087890625,0.940147680909953,6.7750244140625,7.416748046875
control,3,fp32_projection,combined_effect_M11_minus_M00,32,0.5592448711395264,2.0692143104220855,-0.12174926772713657,1.3084549032151698
control,3,fp32_projection,interaction,32,-0.7439621090888977,0.2946079119407977,-0.8452506355941296,-0.6464693039655686
