cohort_class,prefix_len,precision_path,method,n,mean_eos_margin,mean_eos_prob,mean_eos_rank,mean_entropy
collapse,0,fp32_projection,M00,32,-14.993965059518814,2.833582994909989e-07,194.78125,0.4632660364732146
collapse,0,fp32_projection,M01,32,-15.804588943719864,1.3021406519708734e-07,243.21875,0.38840171601623297
collapse,0,fp32_projection,M10,32,-7.140384957194328,0.00045931617023597937,31.75,1.6142643243074417
collapse,0,fp32_projection,M11,32,-7.657019287347794,0.0002998432009917451,35.90625,1.6819401532411575
collapse,0,release_native,M00,32,-14.99267578125,2.8375174920824975e-07,194.53125,0.46341069508343935
collapse,0,release_native,M01,32,-15.803466796875,1.3030027357086027e-07,242.65625,0.38905617664568126
collapse,0,release_native,M10,32,-7.1396484375,0.00045970110295456834,31.6875,1.6147686466574669
collapse,0,release_native,M11,32,-7.65478515625,0.0003001878860686702,35.875,1.682587243616581
collapse,1,fp32_projection,M00,32,-16.788685202598572,5.1799827371912244e-08,445.5,0.28177954885177314
collapse,1,fp32_projection,M01,32,-18.972359120845795,6.322479782772117e-09,642.0625,0.1335216520819813
collapse,1,fp32_projection,M10,32,-9.43647813796997,3.3062705753650334e-05,382.625,2.556831944733858
collapse,1,fp32_projection,M11,32,-11.407354086637497,7.168492658138348e-06,483.96875,1.7008796222507954
collapse,1,release_native,M00,32,-16.78857421875,5.1781735926903494e-08,444.625,0.2819807279156521
collapse,1,release_native,M01,32,-18.9698486328125,6.339597583004952e-09,641.09375,0.13411028659902513
collapse,1,release_native,M10,32,-9.4359130859375,3.3068653891632493e-05,382.125,2.557179920375347
collapse,1,release_native,M11,32,-11.4071044921875,7.1706442916763535e-06,483.5,1.7011286169290543
collapse,3,fp32_projection,M00,32,-15.63790014386177,2.1128231872391545e-07,147.90625,0.23100845288990968
collapse,3,fp32_projection,M01,32,-18.29689347743988,1.4405007480247645e-08,232.09375,0.14684000616671256
collapse,3,fp32_projection,M10,32,-11.97606235742569,6.2656874888489256e-06,85.53125,0.48622200435056584
collapse,3,fp32_projection,M11,32,-15.318060755729675,2.60359400483523e-07,112.53125,0.214098680371535
collapse,3,release_native,M00,32,-15.6361083984375,2.1177518846893228e-07,147.59375,0.23109431538978242
collapse,3,release_native,M01,32,-18.2969970703125,1.4414464240275482e-08,231.6875,0.1469170534683144
collapse,3,release_native,M10,32,-11.976318359375,6.259201157376992e-06,85.28125,0.4863849490939174
collapse,3,release_native,M11,32,-15.320068359375,2.5969425598848517e-07,112.28125,0.21383767224324401
collapse,5,fp32_projection,M00,32,-14.873416364192963,3.2489352702527036e-07,1063.5625,1.2249763828876894
collapse,5,fp32_projection,M01,32,-17.163826018571854,5.151176653414233e-08,1327.53125,0.8876547745858261
collapse,5,fp32_projection,M10,32,-10.539121299982071,5.031691915391434e-05,319.03125,1.6760545134966378
collapse,5,fp32_projection,M11,32,-13.519577205181122,3.811070488302093e-06,407.09375,1.009030916087795
collapse,5,release_native,M00,32,-14.874618530273438,3.2503770417465633e-07,1062.75,1.2243184750659566
collapse,5,release_native,M01,32,-17.164016723632812,5.152450693619165e-08,1326.375,0.8878205982000509
collapse,5,release_native,M10,32,-10.538330078125,5.023953816518656e-05,318.34375,1.6765654323535273
collapse,5,release_native,M11,32,-13.519287109375,3.8046436361405256e-06,406.78125,1.0093155208451208
collapse,10,fp32_projection,M00,32,-14.543320834636688,5.215531551777675e-07,881.28125,1.1302932757671442
collapse,10,fp32_projection,M01,32,-16.740682870149612,6.942074003146725e-08,1226.96875,0.7394241088718445
collapse,10,fp32_projection,M10,32,-11.14690214395523,1.4088746407736608e-05,342.65625,1.4297724877105793
collapse,10,fp32_projection,M11,32,-14.112416833639145,9.74337601822306e-07,474.46875,0.7960152633022517
collapse,10,release_native,M00,32,-14.54364013671875,5.211822927814191e-07,880.46875,1.1300117755545216
collapse,10,release_native,M01,32,-16.740081787109375,6.95833225570347e-08,1225.59375,0.7392037284216713
collapse,10,release_native,M10,32,-11.1466064453125,1.4067890322877474e-05,342.09375,1.430109196488047
collapse,10,release_native,M11,32,-14.1116943359375,9.74167513656532e-07,473.84375,0.7965193979616743
control,0,fp32_projection,M00,32,-14.968871086835861,2.8877548885475335e-07,202.59375,0.4980325591750443
control,0,fp32_projection,M01,32,-15.734736621379852,1.3865169767868224e-07,243.875,0.40992556139826775
control,0,fp32_projection,M10,32,-7.501787394285202,0.0004536677367923403,33.46875,1.5493560992181301
control,0,fp32_projection,M11,32,-8.116962283849716,0.0002567583683230623,38.71875,1.5636042430996895
control,0,release_native,M00,32,-14.96923828125,2.886275036750874e-07,202.21875,0.4979259562678635
control,0,release_native,M01,32,-15.73583984375,1.3849165281243359e-07,243.3125,0.40942113380879164
control,0,release_native,M10,32,-7.500732421875,0.0004537983686532243,33.4375,1.549533361569047
control,0,release_native,M11,32,-8.1153564453125,0.000257154831160733,38.65625,1.5642556361854076
control,1,fp32_projection,M00,32,-16.7200286090374,5.233548971972368e-08,444.28125,0.3353379969485104
control,1,fp32_projection,M01,32,-18.880651354789734,6.4729137050356655e-09,622.78125,0.15995855710934848
control,1,fp32_projection,M10,32,-9.631577879190445,3.298299122889148e-05,353.15625,2.312212932854891
control,1,fp32_projection,M11,32,-11.626546949148178,6.856303969016153e-06,453.25,1.5313541442155838
control,1,release_native,M00,32,-16.71923828125,5.235354522126201e-08,443.65625,0.3355713430792093
control,1,release_native,M01,32,-18.8807373046875,6.469337177072987e-09,622.125,0.16029821493430063
control,1,release_native,M10,32,-9.63134765625,3.299957042202095e-05,352.78125,2.3127416521310806
control,1,release_native,M11,32,-11.6259765625,6.85774517705795e-06,452.65625,1.5316042937338352
control,3,fp32_projection,M00,32,-16.02881008386612,2.0675691498467375e-07,146.90625,0.2267941204527233
control,3,fp32_projection,M01,32,-18.70255082845688,1.3422288015849798e-08,219.15625,0.13193852931522088
control,3,fp32_projection,M10,32,-12.051862359046936,8.706575910011338e-06,66.46875,0.3909711848500592
control,3,fp32_projection,M11,32,-15.469565212726593,4.109513789263275e-07,91.40625,0.1419695121658151
control,3,release_native,M00,32,-16.0286865234375,2.0647746144797363e-07,146.46875,0.2266109370848426
