classifiable_denominator,count,fraction_all_in_length_group,fraction_classifiable,hallucination_change,length_group,length_group_denominator,pair_ids,possible_count_including_unresolved,possible_fraction_including_unresolved,supported_change
184,2,0.005063291139240506,0.010869565217391304,lost,shorter,395,"[""527219"", ""55155""]",73,0.1848101265822785,unchanged
184,2,0.005063291139240506,0.010869565217391304,lost,shorter,395,"[""475150"", ""210394""]",79,0.2,gained
184,17,0.043037974683544304,0.09239130434782608,lost,shorter,395,"[""260370"", ""308391"", ""277326"", ""575946"", ""112702"", ""89359"", ""41438"", ""441614"", ""337055"", ""405635"", ""283119"", ""142826"", ""438364"", ""275501"", ""568814"", ""262531"", ""295076""]",125,0.31645569620253167,lost
184,58,0.1468354430379747,0.31521739130434784,lost,shorter,395,"[""398726"", ""64189"", ""379542"", ""340654"", ""198120"", ""402623"", ""289392"", ""433892"", ""86250"", ""552221"", ""195269"", ""121876"", ""449039"", ""253489"", ""204661"", ""235864"", ""133819"", ""269942"", ""91349"", ""110196"", ""458778"", ""578383"", ""361521"", ""581863"", ""32001"", ""49151"", ""474439"", ""160004"", ""169436"", ""262987"", ""422522"", ""143132"", ""236747"", ""554114"", ""317188"", ""469638"", ""371005"", ""442136"", ""279634"", ""281628"", ""402588"", ""84477"", ""66841"", ""197666"", ""242422"", ""350160"", ""128515"", ""319726"", ""306335"", ""228867"", ""331180"", ""1960"", ""113333"", ""216243"", ""5804"", ""329433"", ""273317"", ""378276""]",208,0.5265822784810127,mixed
184,1,0.002531645569620253,0.005434782608695652,unchanged,shorter,395,"[""17409""]",71,0.17974683544303796,unchanged
184,2,0.005063291139240506,0.010869565217391304,unchanged,shorter,395,"[""373089"", ""10837""]",76,0.19240506329113924,gained
184,10,0.02531645569620253,0.05434782608695652,unchanged,shorter,395,"[""190015"", ""447553"", ""572050"", ""519728"", ""280888"", ""581451"", ""58029"", ""6460"", ""116202"", ""312682""]",116,0.2936708860759494,lost
184,47,0.1189873417721519,0.2554347826086957,unchanged,shorter,395,"[""18291"", ""321176"", ""270593"", ""43098"", ""80185"", ""196989"", ""471483"", ""89296"", ""45367"", ""87144"", ""303908"", ""164497"", ""30361"", ""281683"", ""306879"", ""35966"", ""448657"", ""226404"", ""120340"", ""262092"", ""483849"", ""180167"", ""213432"", ""99581"", ""265462"", ""435081"", ""506441"", ""237517"", ""316617"", ""522478"", ""236868"", ""317479"", ""438426"", ""232679"", ""69946"", ""277094"", ""443844"", ""276066"", ""92679"", ""369190"", ""281331"", ""92248"", ""107558"", ""300876"", ""20487"", ""565778"", ""220277""]",186,0.4708860759493671,mixed
184,1,0.002531645569620253,0.005434782608695652,gained,shorter,395,"[""506187""]",68,0.17215189873417722,unchanged
184,2,0.005063291139240506,0.010869565217391304,gained,shorter,395,"[""239005"", ""76484""]",78,0.19746835443037974,gained
184,1,0.002531645569620253,0.005434782608695652,gained,shorter,395,"[""543118""]",81,0.20506329113924052,lost
184,14,0.035443037974683546,0.07608695652173914,gained,shorter,395,"[""85674"", ""419558"", ""554582"", ""579468"", ""63040"", ""523677"", ""372428"", ""259422"", ""298812"", ""559550"", ""141256"", ""49444"", ""445233"", ""43947""]",135,0.34177215189873417,mixed
184,0,0.0,0.0,mixed,shorter,395,[],68,0.17215189873417722,unchanged
184,1,0.002531645569620253,0.005434782608695652,mixed,shorter,395,"[""210408""]",80,0.20253164556962025,gained
184,5,0.012658227848101266,0.02717391304347826,mixed,shorter,395,"[""545353"", ""256220"", ""137967"", ""564003"", ""212421""]",83,0.21012658227848102,lost
184,21,0.053164556962025315,0.11413043478260869,mixed,shorter,395,"[""403482"", ""25986"", ""120806"", ""112437"", ""570101"", ""574280"", ""293545"", ""158414"", ""483723"", ""370207"", ""536720"", ""30273"", ""344498"", ""190395"", ""428975"", ""249883"", ""570659"", ""482742"", ""521869"", ""136466"", ""437303""]",149,0.37721518987341773,mixed
1,0,0.0,0.0,lost,unchanged,1,[],0,0.0,unchanged
1,0,0.0,0.0,lost,unchanged,1,[],0,0.0,gained
1,0,0.0,0.0,lost,unchanged,1,[],0,0.0,lost
1,1,1.0,1.0,lost,unchanged,1,"[""15113""]",1,1.0,mixed
1,0,0.0,0.0,unchanged,unchanged,1,[],0,0.0,unchanged
1,0,0.0,0.0,unchanged,unchanged,1,[],0,0.0,gained
1,0,0.0,0.0,unchanged,unchanged,1,[],0,0.0,lost
1,0,0.0,0.0,unchanged,unchanged,1,[],0,0.0,mixed
1,0,0.0,0.0,gained,unchanged,1,[],0,0.0,unchanged
1,0,0.0,0.0,gained,unchanged,1,[],0,0.0,gained
1,0,0.0,0.0,gained,unchanged,1,[],0,0.0,lost
1,0,0.0,0.0,gained,unchanged,1,[],0,0.0,mixed
1,0,0.0,0.0,mixed,unchanged,1,[],0,0.0,unchanged
1,0,0.0,0.0,mixed,unchanged,1,[],0,0.0,gained
1,0,0.0,0.0,mixed,unchanged,1,[],0,0.0,lost
1,0,0.0,0.0,mixed,unchanged,1,[],0,0.0,mixed
2,0,0.0,0.0,lost,longer,4,[],1,0.25,unchanged
2,0,0.0,0.0,lost,longer,4,[],1,0.25,gained
2,0,0.0,0.0,lost,longer,4,[],2,0.5,lost
2,1,0.25,0.5,lost,longer,4,"[""366830""]",3,0.75,mixed
2,0,0.0,0.0,unchanged,longer,4,[],1,0.25,unchanged
2,0,0.0,0.0,unchanged,longer,4,[],1,0.25,gained
2,0,0.0,0.0,unchanged,longer,4,[],2,0.5,lost
2,0,0.0,0.0,unchanged,longer,4,[],2,0.5,mixed
2,0,0.0,0.0,gained,longer,4,[],1,0.25,unchanged
2,0,0.0,0.0,gained,longer,4,[],1,0.25,gained
2,1,0.25,0.5,gained,longer,4,"[""61715""]",2,0.5,lost
