added,gain,hallucination_change,length_group,loss,modified_in,modified_out,original_count,pairs,possible_gain,possible_loss,removed,retained,role,steer_count,supported_change,type
0,0,gained,longer,0,0,0,0,1,0,0,0,0,H,0,lost,attribute
0,0,gained,longer,1,0,0,1,1,0,0,1,0,S,0,lost,attribute
2,2,gained,longer,0,0,0,0,1,0,0,0,0,H,2,lost,entity
0,0,gained,longer,0,0,0,4,1,0,0,0,4,S,4,lost,entity
0,0,lost,longer,0,0,0,0,1,0,0,0,0,H,0,mixed,attribute
1,1,lost,longer,0,0,0,1,1,0,0,0,1,S,2,mixed,attribute
0,0,lost,longer,1,0,0,1,1,0,0,1,0,H,0,mixed,entity
3,3,lost,longer,1,0,0,4,1,0,0,1,3,S,6,mixed,entity
0,0,unresolved,longer,0,0,0,0,2,0,1,0,0,H,0,unresolved,attribute
0,0,unresolved,longer,1,0,0,2,2,1,2,1,0,S,1,unresolved,attribute
0,0,unresolved,longer,0,0,0,1,2,3,1,0,0,H,2,unresolved,entity
2,2,unresolved,longer,2,0,0,9,2,2,2,2,5,S,8,unresolved,entity
0,0,gained,shorter,0,0,0,0,2,0,0,0,0,H,0,gained,attribute
2,2,gained,shorter,0,0,0,1,2,0,0,0,1,S,3,gained,attribute
2,2,gained,shorter,0,0,0,0,2,0,0,0,0,H,2,gained,entity
3,3,gained,shorter,0,0,0,5,2,0,0,0,5,S,8,gained,entity
1,1,gained,shorter,0,0,0,0,1,0,0,0,0,H,1,lost,attribute
0,0,gained,shorter,2,0,0,2,1,0,0,2,0,S,0,lost,attribute
0,0,gained,shorter,0,0,0,1,1,0,0,0,1,H,1,lost,entity
0,0,gained,shorter,1,0,0,5,1,0,0,1,4,S,4,lost,entity
2,2,gained,shorter,0,0,0,0,14,0,0,0,0,H,2,mixed,attribute
5,6,gained,shorter,9,1,1,12,14,0,0,8,3,S,9,mixed,attribute
17,17,gained,shorter,0,0,0,3,14,3,0,0,3,H,20,mixed,entity
39,39,gained,shorter,29,0,0,90,14,13,15,29,46,S,95,mixed,entity
0,0,gained,shorter,0,0,0,0,1,0,0,0,0,H,0,unchanged,attribute
0,0,gained,shorter,0,0,0,0,1,0,0,0,0,S,0,unchanged,attribute
