added,gain,hallucination_change,length_group,loss,modified_in,modified_out,original_count,pair_id,possible_gain,possible_loss,removed,retained,role,steer_count,supported_change,type
2,2,unresolved,shorter,1,0,0,4,38438,0,0,1,3,S,5,mixed,entity
0,0,unresolved,shorter,0,0,0,0,38438,0,0,0,0,H,0,mixed,entity
1,1,unresolved,shorter,0,0,0,1,38438,1,0,0,1,S,2,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,38438,1,0,0,0,H,0,mixed,attribute
1,1,lost,shorter,1,0,0,7,398726,0,0,1,6,S,7,mixed,entity
0,0,lost,shorter,1,0,0,1,398726,0,0,1,0,H,0,mixed,entity
1,1,lost,shorter,1,0,0,1,398726,0,0,1,0,S,1,mixed,attribute
0,0,lost,shorter,0,0,0,0,398726,0,0,0,0,H,0,mixed,attribute
0,0,lost,shorter,4,0,0,9,260370,0,0,4,5,S,5,lost,entity
0,0,lost,shorter,2,0,0,2,260370,0,0,2,0,H,0,lost,entity
0,0,lost,shorter,0,0,0,2,260370,0,0,0,2,S,2,lost,attribute
0,0,lost,shorter,0,0,0,0,260370,0,0,0,0,H,0,lost,attribute
0,0,unresolved,shorter,5,0,0,9,113173,0,0,5,4,S,4,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,113173,0,0,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,1,113173,0,0,0,1,S,1,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,113173,0,0,0,0,H,0,unresolved,attribute
1,1,lost,shorter,3,0,0,7,64189,0,1,3,4,S,5,mixed,entity
0,0,lost,shorter,2,0,0,2,64189,0,1,2,0,H,0,mixed,entity
1,1,lost,shorter,0,0,0,1,64189,0,0,0,1,S,2,mixed,attribute
0,0,lost,shorter,0,0,0,0,64189,0,0,0,0,H,0,mixed,attribute
0,0,unchanged,shorter,0,0,0,4,18291,2,1,0,3,S,5,mixed,entity
0,0,unchanged,shorter,0,0,0,0,18291,0,0,0,0,H,0,mixed,entity
1,1,unchanged,shorter,2,0,0,3,18291,0,1,2,0,S,1,mixed,attribute
0,0,unchanged,shorter,0,0,0,0,18291,0,0,0,0,H,0,mixed,attribute
1,1,unchanged,shorter,0,0,0,3,359751,1,1,0,2,S,4,unresolved,entity
0,0,unchanged,shorter,0,0,0,0,359751,0,0,0,0,H,0,unresolved,entity
0,0,unchanged,shorter,0,0,0,0,359751,0,0,0,0,S,0,unresolved,attribute
0,0,unchanged,shorter,0,0,0,0,359751,0,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,1,0,0,1,404462,2,2,1,0,S,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,404462,2,2,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,404462,0,2,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,404462,0,2,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,2,0,0,4,326667,1,1,2,1,S,2,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,326667,0,0,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,326667,0,1,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,326667,0,1,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,3,0,0,5,396768,0,1,3,2,S,2,lost,entity
0,0,unresolved,shorter,0,0,0,0,396768,0,1,0,0,H,0,lost,entity
0,0,unresolved,shorter,1,0,0,2,396768,0,0,1,1,S,1,lost,attribute
0,0,unresolved,shorter,0,0,0,0,396768,0,0,0,0,H,0,lost,attribute
2,2,unresolved,shorter,3,0,0,6,342770,2,0,3,3,S,6,mixed,entity
1,1,unresolved,shorter,0,0,0,1,342770,1,1,0,0,H,1,mixed,entity
1,1,unresolved,shorter,0,0,0,0,342770,0,0,0,0,S,1,mixed,attribute
0,0,unresolved,shorter,0,0,0,0,342770,1,0,0,0,H,1,mixed,attribute
0,0,unresolved,shorter,1,0,0,4,487391,2,3,1,1,S,2,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,487391,1,1,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,487391,1,0,1,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,487391,1,0,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,1,0,0,7,542511,5,4,1,2,S,7,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,542511,2,0,0,0,H,2,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,542511,0,1,0,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,542511,0,1,0,0,H,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,3,525322,3,4,0,1,S,4,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,525322,0,2,0,0,H,0,unresolved,entity
0,0,unresolved,shorter,0,0,0,1,525322,4,1,0,0,S,4,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,525322,0,0,0,0,H,0,unresolved,attribute
1,1,unresolved,shorter,1,0,0,5,279305,2,2,1,2,S,5,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,279305,0,0,0,0,H,0,unresolved,entity
1,1,unresolved,shorter,1,0,0,2,279305,2,0,1,1,S,4,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,279305,0,0,0,0,H,0,unresolved,attribute
2,2,unresolved,shorter,1,0,0,5,45472,4,3,1,1,S,6,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,45472,1,0,0,0,H,0,unresolved,entity
2,2,unresolved,shorter,0,0,0,1,45472,0,1,0,0,S,2,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,45472,0,0,0,0,H,0,unresolved,attribute
1,1,unresolved,shorter,0,0,0,8,102609,1,2,0,6,S,8,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,102609,0,0,1,0,H,0,unresolved,entity
0,0,unresolved,shorter,1,0,0,1,102609,0,0,1,0,S,0,unresolved,attribute
0,0,unresolved,shorter,0,0,0,0,102609,0,0,0,0,H,0,unresolved,attribute
1,1,mixed,shorter,4,0,0,7,403482,1,1,4,2,S,4,mixed,entity
2,2,mixed,shorter,3,0,0,3,403482,0,0,3,0,H,2,mixed,entity
0,0,mixed,shorter,0,0,0,1,403482,0,3,0,0,S,0,mixed,attribute
0,0,mixed,shorter,0,0,0,0,403482,0,2,0,0,H,0,mixed,attribute
1,1,unresolved,shorter,2,0,0,7,45388,1,1,2,4,S,6,unresolved,entity
0,0,unresolved,shorter,0,0,0,0,45388,0,0,0,0,H,0,unresolved,entity
