length_group,H,S,count,denominator,fraction,pair_ids
shorter,lost,unchanged,2,395,0.005063291139240506,"[""527219"", ""55155""]"
shorter,lost,gained,2,395,0.005063291139240506,"[""475150"", ""210394""]"
shorter,lost,lost,20,395,0.05063291139240506,"[""260370"", ""308391"", ""277326"", ""183970"", ""575946"", ""54264"", ""112702"", ""89359"", ""41438"", ""441614"", ""337055"", ""405635"", ""283119"", ""142826"", ""438364"", ""275501"", ""568814"", ""32284"", ""262531"", ""295076""]"
shorter,lost,mixed,64,395,0.1620253164556962,"[""398726"", ""64189"", ""102609"", ""379542"", ""340654"", ""40705"", ""198120"", ""402623"", ""289392"", ""433892"", ""86250"", ""552221"", ""195269"", ""121876"", ""449039"", ""253489"", ""439180"", ""204661"", ""235864"", ""133819"", ""269942"", ""91349"", ""110196"", ""458778"", ""578383"", ""361521"", ""581863"", ""32001"", ""49151"", ""474439"", ""160004"", ""169436"", ""262987"", ""422522"", ""575901"", ""143132"", ""236747"", ""554114"", ""365099"", ""317188"", ""469638"", ""371005"", ""442136"", ""279634"", ""281628"", ""402588"", ""84477"", ""66841"", ""197666"", ""242422"", ""350160"", ""128515"", ""319726"", ""306335"", ""103485"", ""228867"", ""331180"", ""1960"", ""113333"", ""216243"", ""5804"", ""329433"", ""273317"", ""378276""]"
shorter,unchanged,unchanged,2,395,0.005063291139240506,"[""17409"", ""154173""]"
shorter,unchanged,gained,3,395,0.007594936708860759,"[""511138"", ""373089"", ""10837""]"
shorter,unchanged,lost,13,395,0.03291139240506329,"[""113173"", ""190015"", ""356500"", ""447553"", ""572050"", ""519728"", ""280888"", ""388409"", ""581451"", ""58029"", ""6460"", ""116202"", ""312682""]"
shorter,unchanged,mixed,57,395,0.14430379746835442,"[""18291"", ""279305"", ""45388"", ""321176"", ""451915"", ""270593"", ""43098"", ""80185"", ""196989"", ""471483"", ""89296"", ""45367"", ""548090"", ""87144"", ""303908"", ""164497"", ""230739"", ""30361"", ""281683"", ""306879"", ""35966"", ""274298"", ""448657"", ""226404"", ""120340"", ""89618"", ""262092"", ""483849"", ""508580"", ""180167"", ""213432"", ""99581"", ""265462"", ""435081"", ""506441"", ""237517"", ""316617"", ""522478"", ""236868"", ""317479"", ""438426"", ""232679"", ""69946"", ""277094"", ""180411"", ""443844"", ""276066"", ""92679"", ""369190"", ""281331"", ""92248"", ""107558"", ""300876"", ""20487"", ""565778"", ""484303"", ""220277""]"
shorter,gained,unchanged,1,395,0.002531645569620253,"[""506187""]"
shorter,gained,gained,2,395,0.005063291139240506,"[""239005"", ""76484""]"
shorter,gained,lost,2,395,0.005063291139240506,"[""543118"", ""323799""]"
shorter,gained,mixed,17,395,0.043037974683544304,"[""85674"", ""419558"", ""43324"", ""554582"", ""579468"", ""63040"", ""567740"", ""523677"", ""372428"", ""259422"", ""298812"", ""551665"", ""559550"", ""141256"", ""49444"", ""445233"", ""43947""]"
shorter,mixed,unchanged,0,395,0.0,[]
shorter,mixed,gained,1,395,0.002531645569620253,"[""210408""]"
shorter,mixed,lost,5,395,0.012658227848101266,"[""545353"", ""256220"", ""137967"", ""564003"", ""212421""]"
shorter,mixed,mixed,25,395,0.06329113924050633,"[""403482"", ""25986"", ""561517"", ""120806"", ""112437"", ""570101"", ""574280"", ""293545"", ""158414"", ""483723"", ""370207"", ""45644"", ""536720"", ""30273"", ""344498"", ""190395"", ""428975"", ""249883"", ""381658"", ""570659"", ""482742"", ""296960"", ""521869"", ""136466"", ""437303""]"
unchanged,lost,unchanged,0,1,0.0,[]
unchanged,lost,gained,0,1,0.0,[]
unchanged,lost,lost,0,1,0.0,[]
unchanged,lost,mixed,1,1,1.0,"[""15113""]"
unchanged,unchanged,unchanged,0,1,0.0,[]
unchanged,unchanged,gained,0,1,0.0,[]
unchanged,unchanged,lost,0,1,0.0,[]
unchanged,unchanged,mixed,0,1,0.0,[]
unchanged,gained,unchanged,0,1,0.0,[]
unchanged,gained,gained,0,1,0.0,[]
unchanged,gained,lost,0,1,0.0,[]
unchanged,gained,mixed,0,1,0.0,[]
unchanged,mixed,unchanged,0,1,0.0,[]
unchanged,mixed,gained,0,1,0.0,[]
unchanged,mixed,lost,0,1,0.0,[]
unchanged,mixed,mixed,0,1,0.0,[]
longer,lost,unchanged,0,4,0.0,[]
longer,lost,gained,0,4,0.0,[]
longer,lost,lost,0,4,0.0,[]
longer,lost,mixed,1,4,0.25,"[""366830""]"
longer,unchanged,unchanged,0,4,0.0,[]
longer,unchanged,gained,0,4,0.0,[]
longer,unchanged,lost,0,4,0.0,[]
longer,unchanged,mixed,0,4,0.0,[]
longer,gained,unchanged,0,4,0.0,[]
longer,gained,gained,0,4,0.0,[]
longer,gained,lost,1,4,0.25,"[""61715""]"
longer,gained,mixed,0,4,0.0,[]
longer,mixed,unchanged,0,4,0.0,[]
longer,mixed,gained,0,4,0.0,[]
longer,mixed,lost,0,4,0.0,[]
longer,mixed,mixed,0,4,0.0,[]
