length_group,H,S,count,denominator,fraction,pair_ids
shorter,lost,unchanged,2,395,0.005063291139240506,"[""527219"", ""55155""]"
shorter,lost,gained,3,395,0.007594936708860759,"[""475150"", ""381213"", ""210394""]"
shorter,lost,lost,20,395,0.05063291139240506,"[""260370"", ""308391"", ""183970"", ""575946"", ""54264"", ""112702"", ""89359"", ""41438"", ""441614"", ""337055"", ""405635"", ""283119"", ""142826"", ""456559"", ""256003"", ""438364"", ""275501"", ""568814"", ""32284"", ""262531""]"
shorter,lost,mixed,56,395,0.14177215189873418,"[""64189"", ""102609"", ""379542"", ""340654"", ""40705"", ""198120"", ""402623"", ""289392"", ""433892"", ""86250"", ""552221"", ""449039"", ""113246"", ""389308"", ""253489"", ""439180"", ""204661"", ""373857"", ""235864"", ""133819"", ""269942"", ""110196"", ""578383"", ""361521"", ""581863"", ""49151"", ""276971"", ""246252"", ""298372"", ""422522"", ""575901"", ""143132"", ""209322"", ""554114"", ""317188"", ""469638"", ""371005"", ""442136"", ""279634"", ""281628"", ""84477"", ""66841"", ""197666"", ""242422"", ""319726"", ""1180"", ""306335"", ""103485"", ""519838"", ""331180"", ""169273"", ""216243"", ""5804"", ""329433"", ""273317"", ""378276""]"
shorter,unchanged,unchanged,2,395,0.005063291139240506,"[""17409"", ""154173""]"
shorter,unchanged,gained,4,395,0.010126582278481013,"[""511138"", ""388829"", ""373089"", ""10837""]"
shorter,unchanged,lost,13,395,0.03291139240506329,"[""190015"", ""356500"", ""572050"", ""519728"", ""280888"", ""138119"", ""467966"", ""388409"", ""321217"", ""58029"", ""6460"", ""116202"", ""312682""]"
shorter,unchanged,mixed,47,395,0.1189873417721519,"[""18291"", ""45388"", ""402992"", ""321176"", ""451915"", ""270593"", ""43098"", ""80185"", ""196989"", ""45367"", ""332570"", ""303908"", ""164497"", ""230739"", ""30361"", ""281683"", ""306879"", ""35966"", ""274298"", ""448657"", ""226404"", ""120340"", ""262092"", ""483849"", ""484346"", ""180167"", ""213432"", ""99581"", ""265462"", ""435081"", ""22461"", ""93620"", ""237517"", ""316617"", ""236868"", ""443844"", ""221914"", ""276066"", ""92679"", ""281331"", ""53748"", ""107558"", ""300876"", ""20487"", ""565778"", ""484303"", ""220277""]"
shorter,gained,unchanged,1,395,0.002531645569620253,"[""506187""]"
shorter,gained,gained,2,395,0.005063291139240506,"[""239005"", ""76484""]"
shorter,gained,lost,0,395,0.0,[]
shorter,gained,mixed,14,395,0.035443037974683546,"[""85674"", ""43324"", ""579468"", ""63040"", ""230220"", ""567740"", ""523677"", ""372428"", ""298812"", ""8899"", ""559550"", ""49444"", ""445233"", ""43947""]"
shorter,mixed,unchanged,0,395,0.0,[]
shorter,mixed,gained,1,395,0.002531645569620253,"[""210408""]"
shorter,mixed,lost,4,395,0.010126582278481013,"[""545353"", ""137967"", ""564003"", ""212421""]"
shorter,mixed,mixed,23,395,0.05822784810126582,"[""403482"", ""25986"", ""255795"", ""574280"", ""293545"", ""158414"", ""483723"", ""370207"", ""45644"", ""30273"", ""344498"", ""190395"", ""324789"", ""428975"", ""249883"", ""381658"", ""570659"", ""482742"", ""450849"", ""296960"", ""521869"", ""136466"", ""437303""]"
unchanged,lost,unchanged,0,1,0.0,[]
unchanged,lost,gained,0,1,0.0,[]
unchanged,lost,lost,0,1,0.0,[]
unchanged,lost,mixed,1,1,1.0,"[""15113""]"
unchanged,unchanged,unchanged,0,1,0.0,[]
unchanged,unchanged,gained,0,1,0.0,[]
unchanged,unchanged,lost,0,1,0.0,[]
unchanged,unchanged,mixed,0,1,0.0,[]
unchanged,gained,unchanged,0,1,0.0,[]
unchanged,gained,gained,0,1,0.0,[]
unchanged,gained,lost,0,1,0.0,[]
unchanged,gained,mixed,0,1,0.0,[]
unchanged,mixed,unchanged,0,1,0.0,[]
unchanged,mixed,gained,0,1,0.0,[]
unchanged,mixed,lost,0,1,0.0,[]
unchanged,mixed,mixed,0,1,0.0,[]
longer,lost,unchanged,0,4,0.0,[]
longer,lost,gained,0,4,0.0,[]
longer,lost,lost,0,4,0.0,[]
longer,lost,mixed,1,4,0.25,"[""366830""]"
longer,unchanged,unchanged,0,4,0.0,[]
longer,unchanged,gained,0,4,0.0,[]
longer,unchanged,lost,0,4,0.0,[]
longer,unchanged,mixed,0,4,0.0,[]
longer,gained,unchanged,0,4,0.0,[]
longer,gained,gained,0,4,0.0,[]
longer,gained,lost,1,4,0.25,"[""61715""]"
longer,gained,mixed,0,4,0.0,[]
longer,mixed,unchanged,0,4,0.0,[]
longer,mixed,gained,0,4,0.0,[]
longer,mixed,lost,0,4,0.0,[]
longer,mixed,mixed,0,4,0.0,[]
