length_group,H,S,count,denominator,fraction,pair_ids
shorter,lost,unchanged,2,395,0.005063291139240506,"[""527219"", ""55155""]"
shorter,lost,gained,4,395,0.010126582278481013,"[""46912"", ""475150"", ""381213"", ""210394""]"
shorter,lost,lost,21,395,0.053164556962025315,"[""260370"", ""308391"", ""183970"", ""75806"", ""575946"", ""54264"", ""112702"", ""89359"", ""41438"", ""441614"", ""337055"", ""405635"", ""283119"", ""142826"", ""456559"", ""256003"", ""438364"", ""275501"", ""568814"", ""32284"", ""262531""]"
shorter,lost,mixed,78,395,0.19746835443037974,"[""398726"", ""64189"", ""102609"", ""318854"", ""379542"", ""340654"", ""40705"", ""198120"", ""402623"", ""289392"", ""277326"", ""433892"", ""86250"", ""552221"", ""195269"", ""121876"", ""449039"", ""45094"", ""113246"", ""389308"", ""253489"", ""439180"", ""204661"", ""373857"", ""198590"", ""235864"", ""133819"", ""269942"", ""91349"", ""110196"", ""458778"", ""578383"", ""361521"", ""581863"", ""32001"", ""49151"", ""276971"", ""160004"", ""246252"", ""169436"", ""298372"", ""494014"", ""422522"", ""240323"", ""575901"", ""143132"", ""209322"", ""554114"", ""365099"", ""317188"", ""469638"", ""544638"", ""371005"", ""442136"", ""279634"", ""281628"", ""402588"", ""430973"", ""84477"", ""66841"", ""197666"", ""242422"", ""350160"", ""128515"", ""319726"", ""1180"", ""306335"", ""103485"", ""519838"", ""228867"", ""331180"", ""113333"", ""169273"", ""216243"", ""5804"", ""329433"", ""273317"", ""378276""]"
shorter,unchanged,unchanged,2,395,0.005063291139240506,"[""17409"", ""154173""]"
shorter,unchanged,gained,4,395,0.010126582278481013,"[""511138"", ""388829"", ""373089"", ""10837""]"
shorter,unchanged,lost,18,395,0.04556962025316456,"[""396768"", ""190015"", ""356500"", ""515391"", ""572050"", ""73201"", ""519728"", ""280888"", ""138119"", ""454642"", ""467966"", ""388409"", ""497867"", ""321217"", ""58029"", ""6460"", ""116202"", ""312682""]"
shorter,unchanged,mixed,69,395,0.17468354430379746,"[""38438"", ""113173"", ""18291"", ""45388"", ""402992"", ""321176"", ""451915"", ""270593"", ""43098"", ""80185"", ""196989"", ""471483"", ""55857"", ""45367"", ""548090"", ""332570"", ""87144"", ""303908"", ""164497"", ""447553"", ""230739"", ""30361"", ""281683"", ""306879"", ""35966"", ""340934"", ""274298"", ""448657"", ""226404"", ""120340"", ""332777"", ""262092"", ""483849"", ""484346"", ""180167"", ""213432"", ""99581"", ""265462"", ""435081"", ""22461"", ""506441"", ""93620"", ""237517"", ""316617"", ""522478"", ""236868"", ""317479"", ""438426"", ""415015"", ""232679"", ""285894"", ""277094"", ""1404"", ""65350"", ""180411"", ""443844"", ""221914"", ""276066"", ""92679"", ""369190"", ""281331"", ""53748"", ""107558"", ""300876"", ""20487"", ""565778"", ""451944"", ""484303"", ""220277""]"
shorter,gained,unchanged,1,395,0.002531645569620253,"[""506187""]"
shorter,gained,gained,2,395,0.005063291139240506,"[""239005"", ""76484""]"
shorter,gained,lost,1,395,0.002531645569620253,"[""420914""]"
shorter,gained,mixed,28,395,0.07088607594936709,"[""295574"", ""264423"", ""85674"", ""419558"", ""274612"", ""43324"", ""554582"", ""579468"", ""63040"", ""230220"", ""381925"", ""567740"", ""523677"", ""372428"", ""566324"", ""259422"", ""298812"", ""8899"", ""551665"", ""559550"", ""141256"", ""49444"", ""530600"", ""445233"", ""25846"", ""43947"", ""162530"", ""497049""]"
shorter,mixed,unchanged,0,395,0.0,[]
shorter,mixed,gained,1,395,0.002531645569620253,"[""210408""]"
shorter,mixed,lost,4,395,0.010126582278481013,"[""545353"", ""137967"", ""564003"", ""212421""]"
shorter,mixed,mixed,30,395,0.0759493670886076,"[""403482"", ""25986"", ""561517"", ""120806"", ""70471"", ""256220"", ""112437"", ""255795"", ""223874"", ""574280"", ""293545"", ""158414"", ""483723"", ""370207"", ""45644"", ""30273"", ""344498"", ""84701"", ""190395"", ""324789"", ""428975"", ""249883"", ""381658"", ""570659"", ""482742"", ""450849"", ""296960"", ""521869"", ""136466"", ""437303""]"
unchanged,lost,unchanged,0,1,0.0,[]
unchanged,lost,gained,0,1,0.0,[]
unchanged,lost,lost,0,1,0.0,[]
unchanged,lost,mixed,1,1,1.0,"[""15113""]"
unchanged,unchanged,unchanged,0,1,0.0,[]
unchanged,unchanged,gained,0,1,0.0,[]
unchanged,unchanged,lost,0,1,0.0,[]
unchanged,unchanged,mixed,0,1,0.0,[]
unchanged,gained,unchanged,0,1,0.0,[]
unchanged,gained,gained,0,1,0.0,[]
unchanged,gained,lost,0,1,0.0,[]
unchanged,gained,mixed,0,1,0.0,[]
unchanged,mixed,unchanged,0,1,0.0,[]
unchanged,mixed,gained,0,1,0.0,[]
unchanged,mixed,lost,0,1,0.0,[]
unchanged,mixed,mixed,0,1,0.0,[]
longer,lost,unchanged,0,4,0.0,[]
longer,lost,gained,0,4,0.0,[]
longer,lost,lost,0,4,0.0,[]
longer,lost,mixed,1,4,0.25,"[""366830""]"
longer,unchanged,unchanged,0,4,0.0,[]
longer,unchanged,gained,0,4,0.0,[]
longer,unchanged,lost,0,4,0.0,[]
longer,unchanged,mixed,1,4,0.25,"[""626""]"
longer,gained,unchanged,0,4,0.0,[]
longer,gained,gained,0,4,0.0,[]
longer,gained,lost,1,4,0.25,"[""61715""]"
longer,gained,mixed,0,4,0.0,[]
longer,mixed,unchanged,0,4,0.0,[]
longer,mixed,gained,0,4,0.0,[]
longer,mixed,lost,0,4,0.0,[]
longer,mixed,mixed,0,4,0.0,[]
