pair_id,fact_id,entity_id,slot,outcome,alignment_axis,peer_label,parent_description_change
38438,a1,e1,color,retained,decided,supported,equivalent
398726,a1,e5,color,removed,decided,,equivalent
260370,a1,e3,color,retained,decided,supported,equivalent
260370,a2,e4,size,retained,decided,supported,equivalent
113173,a1,e2,color,retained,decided,supported,equivalent
64189,a1,e4,color,retained,decided,supported,equivalent
18291,a1,e2,color,removed,decided,,equivalent
18291,a2,e2,color,removed,decided,,equivalent
396768,a1,e2,material,retained,decided,supported,equivalent
525322,a1,e2,color,unresolved,technical_unresolved,,equivalent
279305,a1,e1,color,retained,decided,supported,equivalent
279305,a2,e2,color,removed,decided,,equivalent
45472,a1,e5,color,unresolved,decided,,equivalent
102609,a1,e1,material,removed,decided,,equivalent
403482,a2,e4,material,removed,decided,,specialized
45388,a2,e5,color,removed,decided,,equivalent
318854,a1,e4,color,retained,decided,supported,specialized
402992,a1,e1,color,removed,decided,,generalized
321176,a1,e3,size,removed,decided,,equivalent
321176,a2,e3,color,removed,decided,,equivalent
321176,a3,e4,color,retained,decided,supported,equivalent
34520,a1,e1,material,removed,decided,,equivalent
340654,a1,e3,color,retained,decided,supported,equivalent
469671,a1,e1,color,retained,decided,supported,equivalent
289392,a1,e2,size,removed,decided,,equivalent
289392,a2,e2,color,removed,decided,,equivalent
270593,a1,e2,color,removed,decided,,equivalent
55244,a1,e3,size,unresolved,decided,supported,equivalent
277326,a1,e5,color,retained,decided,supported,equivalent
43098,a1,e3,color,retained,decided,supported,equivalent
561517,a1,e1,color,removed,decided,,equivalent
543118,a1,e1,size,removed,decided,,equivalent
543118,a3,e5,size,removed,decided,,equivalent
120806,a1,e1,size,retained,decided,supported,equivalent
120806,a2,e1,color,removed,decided,,equivalent
136140,a1,e2,size,removed,decided,,equivalent
85674,a1,e3,color,modified,decided,supported,equivalent
190015,a1,e1,color,retained,decided,supported,equivalent
190015,a2,e3,state,removed,decided,,equivalent
419558,a1,e1,material,removed,decided,,equivalent
569801,a3,e2,color,unresolved,decided,,equivalent
86250,a1,e4,color,retained,decided,supported,equivalent
552221,a1,e3,color,retained,decided,supported,equivalent
303499,a1,e2,color,retained,decided,supported,equivalent
471483,a1,e2,color,retained,decided,supported,specialized
471483,a3,e6,color,retained,decided,supported,equivalent
55857,a1,e5,color,retained,decided,supported,generalized
150098,a2,e1,color,removed,decided,,equivalent
32909,a1,e1,color,retained,decided,supported,equivalent
32909,a2,e1,material,removed,decided,,equivalent
21046,a1,e2,color,retained,decided,supported,equivalent
195269,a1,e3,material,removed,decided,,equivalent
513037,a1,e2,color,modified,decided,supported,equivalent
121876,a1,e1,size,removed,decided,,equivalent
121876,a2,e1,color,removed,decided,,equivalent
82465,a1,e1,material,unresolved,technical_unresolved,,equivalent
75806,a1,e1,size,removed,decided,,equivalent
75806,a2,e2,color,removed,decided,,equivalent
449039,a2,e5,color,retained,decided,supported,equivalent
527219,a1,e3,color,retained,decided,supported,equivalent
45094,a1,e5,color,removed,decided,,equivalent
261115,a3,e6,material,removed,decided,,generalized
253489,a1,e5,color,removed,decided,,equivalent
253489,a3,e6,material,retained,decided,supported,equivalent
45367,a1,e2,color,retained,decided,supported,equivalent
45367,a2,e4,color,retained,decided,supported,equivalent
45367,a3,e4,size,removed,decided,,equivalent
221044,a1,e4,color,retained,decided,supported,equivalent
48530,a1,e1,size,removed,decided,,equivalent
48530,a2,e2,state,removed,decided,,generalized
548090,a1,e3,color,retained,decided,supported,equivalent
548090,a2,e4,color,retained,decided,supported,equivalent
403907,a1,e1,color,retained,decided,supported,equivalent
403907,a2,e1,material,removed,decided,,equivalent
475150,a1,e3,size,retained,decided,supported,equivalent
575946,a1,e1,color,retained,decided,supported,equivalent
579468,a1,e2,color,retained,decided,supported,equivalent
579468,a3,e6,color,retained,decided,supported,equivalent
332570,a1,e2,state,removed,decided,,equivalent
397351,a1,e2,size,removed,decided,,equivalent
204661,a1,e3,state,removed,decided,,equivalent
373857,a1,e3,shape,removed,decided,,equivalent
303908,a1,e1,material,removed,decided,,equivalent
