pair_id,fact_id,outcome,description_change
38438,entity_e1,retained,equivalent
38438,entity_e2,retained,equivalent
38438,entity_e3,retained,equivalent
38438,entity_e4,removed,absent
398726,entity_e1,retained,equivalent
398726,entity_e2,retained,equivalent
398726,entity_e3,retained,equivalent
398726,entity_e4,retained,generalized
398726,entity_e5,retained,equivalent
398726,entity_e6,removed,absent
398726,entity_e7,retained,equivalent
260370,entity_e1,retained,equivalent
260370,entity_e2,retained,equivalent
260370,entity_e3,retained,equivalent
260370,entity_e4,retained,equivalent
260370,entity_e5,removed,absent
260370,entity_e6,retained,equivalent
260370,entity_e7,removed,absent
260370,entity_e8,removed,absent
260370,entity_e11,removed,absent
113173,entity_e1,retained,generalized
113173,entity_e2,retained,equivalent
113173,entity_e3,removed,absent
113173,entity_e4,removed,absent
113173,entity_e5,removed,absent
113173,entity_e6,retained,equivalent
113173,entity_e7,removed,absent
113173,entity_e8,retained,equivalent
113173,entity_e9,removed,absent
64189,entity_e1,retained,equivalent
64189,entity_e2,retained,equivalent
64189,entity_e3,retained,equivalent
64189,entity_e4,retained,equivalent
64189,entity_e7,removed,absent
64189,entity_e8,removed,absent
64189,entity_e10,removed,absent
18291,entity_e1,retained,equivalent
18291,entity_e2,retained,equivalent
18291,entity_e3,unresolved,collection_change
18291,entity_e4,retained,equivalent
359751,entity_e1,retained,equivalent
359751,entity_e2,retained,equivalent
359751,entity_e3,retained,generalized
404462,entity_e1,retained,specialized
404462,entity_e4,removed,absent
326667,entity_e1,retained,equivalent
326667,entity_e2,retained,specialized
326667,entity_e3,removed,absent
326667,entity_e4,removed,absent
396768,entity_e1,retained,equivalent
396768,entity_e2,retained,equivalent
396768,entity_e3,removed,absent
396768,entity_e4,removed,absent
396768,entity_e5,removed,absent
396768,entity_e6,removed,absent
342770,entity_e1,retained,equivalent
342770,entity_e3,retained,equivalent
342770,entity_e4,retained,equivalent
342770,entity_e5,removed,absent
342770,entity_e6,removed,absent
342770,entity_e7,removed,absent
487391,entity_e1,retained,equivalent
487391,entity_e2,retained,generalized
487391,entity_e3,unresolved,unresolved
487391,entity_e4,removed,absent
542511,entity_e1,retained,equivalent
542511,entity_e2,retained,equivalent
542511,entity_e3,retained,equivalent
542511,entity_e4,removed,absent
542511,entity_e5,unresolved,collection_change
542511,entity_e6,retained,equivalent
542511,entity_e7,removed,absent
525322,entity_e1,unresolved,collection_change
525322,entity_e2,retained,equivalent
525322,entity_e3,retained,equivalent
279305,entity_e1,retained,equivalent
279305,entity_e2,retained,equivalent
279305,entity_e3,retained,equivalent
279305,entity_e4,retained,equivalent
279305,entity_e6,removed,absent
45472,entity_e1,removed,absent
45472,entity_e2,retained,equivalent
45472,entity_e3,unresolved,unresolved
45472,entity_e4,retained,equivalent
45472,entity_e5,retained,equivalent
102609,entity_e1,retained,equivalent
102609,entity_e2,retained,equivalent
102609,entity_e3,removed,absent
102609,entity_e4,retained,equivalent
102609,entity_e5,retained,equivalent
102609,entity_e6,retained,equivalent
102609,entity_e7,retained,equivalent
102609,entity_e9,retained,equivalent
403482,entity_e1,retained,equivalent
403482,entity_e2,removed,absent
403482,entity_e3,removed,absent
403482,entity_e4,retained,specialized
403482,entity_e5,retained,equivalent
403482,entity_e8,removed,absent
403482,entity_e9,removed,absent
45388,entity_e1,retained,generalized
45388,entity_e2,retained,equivalent
45388,entity_e3,retained,equivalent
45388,entity_e4,retained,equivalent
45388,entity_e5,retained,equivalent
45388,entity_e6,removed,absent
45388,entity_e7,removed,absent
281711,entity_e1,retained,equivalent
281711,entity_e2,retained,equivalent
281711,entity_e4,retained,equivalent
281711,entity_e7,removed,absent
281711,entity_e8,removed,absent
281711,entity_e9,retained,equivalent
268717,entity_e1,retained,equivalent
268717,entity_e2,unresolved,collection_change
268717,entity_e3,removed,absent
268717,entity_e4,retained,equivalent
268717,entity_e5,retained,equivalent
268717,entity_e6,retained,equivalent
268717,entity_e8,removed,absent
318854,entity_e1,retained,equivalent
318854,entity_e2,retained,equivalent
318854,entity_e3,retained,equivalent
318854,entity_e4,retained,specialized
318854,entity_e5,retained,equivalent
318854,entity_e7,retained,equivalent
318854,entity_e11,removed,absent
402992,entity_e1,retained,generalized
402992,entity_e2,retained,equivalent
402992,entity_e3,removed,absent
321176,entity_e1,retained,equivalent
321176,entity_e2,removed,absent
321176,entity_e3,retained,equivalent
321176,entity_e4,retained,equivalent
321176,entity_e5,retained,equivalent
321176,entity_e6,removed,absent
321176,entity_e7,removed,absent
34520,entity_e1,retained,equivalent
34520,entity_e2,retained,equivalent
34520,entity_e3,unresolved,unresolved
34520,entity_e4,removed,absent
379542,entity_e1,retained,equivalent
379542,entity_e2,retained,equivalent
379542,entity_e3,retained,equivalent
379542,entity_e4,retained,equivalent
379542,entity_e5,removed,absent
340654,entity_e1,retained,equivalent
340654,entity_e2,retained,equivalent
340654,entity_e3,retained,equivalent
340654,entity_e4,removed,absent
340654,entity_e6,removed,absent
340654,entity_e7,removed,absent
340654,entity_e8,retained,equivalent
340654,entity_e9,retained,equivalent
40705,entity_e1,retained,equivalent
40705,entity_e2,retained,equivalent
40705,entity_e5,removed,absent
40705,entity_e6,removed,absent
40705,entity_e7,unresolved,unresolved
40705,entity_e9,removed,absent
40705,entity_e10,removed,absent
40705,entity_e11,removed,absent
40705,entity_e12,removed,absent
40705,entity_e13,removed,absent
198120,entity_e1,unresolved,unresolved
198120,entity_e2,unresolved,unresolved
198120,entity_e3,retained,equivalent
198120,entity_e4,retained,equivalent
198120,entity_e5,removed,absent
198120,entity_e6,retained,equivalent
198120,entity_e8,retained,equivalent
198120,entity_e9,retained,equivalent
198120,entity_e10,removed,absent
198120,entity_e11,removed,absent
198120,entity_e12,removed,absent
469671,entity_e1,retained,equivalent
469671,entity_e2,removed,absent
469671,entity_e3,retained,equivalent
469671,entity_e4,removed,absent
469671,entity_e5,retained,equivalent
469671,entity_e6,retained,equivalent
469671,entity_e7,removed,absent
469671,entity_e8,removed,absent
469671,entity_e9,removed,absent
402623,entity_e1,retained,equivalent
402623,entity_e2,removed,absent
402623,entity_e3,removed,absent
402623,entity_e4,removed,absent
402623,entity_e5,removed,absent
402623,entity_e6,unresolved,collection_change
402623,entity_e8,removed,absent
402623,entity_e10,removed,absent
402623,entity_e11,removed,absent
308391,entity_e1,removed,absent
308391,entity_e2,removed,absent
308391,entity_e3,removed,absent
308391,entity_e4,removed,absent
289392,entity_e1,retained,equivalent
289392,entity_e2,retained,equivalent
289392,entity_e3,retained,equivalent
289392,entity_e4,retained,equivalent
289392,entity_e5,retained,equivalent
289392,entity_e6,unresolved,collection_change
289392,entity_e7,removed,absent
289392,entity_e8,removed,absent
289392,entity_e10,removed,absent
289392,entity_e12,removed,absent
451915,entity_e1,retained,equivalent
451915,entity_e2,retained,equivalent
451915,entity_e3,removed,absent
451915,entity_e4,removed,absent
451915,entity_e5,removed,absent
451915,entity_e6,retained,equivalent
451915,entity_e7,removed,absent
25986,entity_e1,unresolved,unresolved
25986,entity_e2,retained,equivalent
25986,entity_e3,retained,equivalent
25986,entity_e4,retained,equivalent
25986,entity_e5,retained,equivalent
25986,entity_e6,retained,equivalent
25986,entity_e7,retained,equivalent
25986,entity_e9,retained,equivalent
25986,entity_e10,retained,equivalent
25986,entity_e11,removed,absent
270593,entity_e1,retained,equivalent
270593,entity_e2,retained,equivalent
270593,entity_e3,removed,absent
270593,entity_e4,retained,equivalent
270593,entity_e5,removed,absent
295574,entity_e1,retained,equivalent
295574,entity_e2,retained,equivalent
295574,entity_e3,retained,equivalent
295574,entity_e4,removed,absent
295574,entity_e5,retained,equivalent
295574,entity_e6,removed,absent
295574,entity_e7,removed,absent
295574,entity_e8,retained,equivalent
295574,entity_e9,removed,absent
55244,entity_e1,retained,equivalent
55244,entity_e2,retained,equivalent
55244,entity_e3,retained,equivalent
55244,entity_e4,removed,absent
55244,entity_e5,removed,absent
55244,entity_e6,removed,absent
55244,entity_e7,removed,absent
55244,entity_e9,retained,equivalent
277326,entity_e1,retained,equivalent
277326,entity_e2,retained,equivalent
277326,entity_e4,retained,specialized
277326,entity_e5,retained,equivalent
277326,entity_e6,removed,absent
277326,entity_e7,removed,absent
264423,entity_e1,retained,generalized
264423,entity_e2,retained,generalized
264423,entity_e3,retained,equivalent
264423,entity_e4,removed,absent
264423,entity_e5,removed,absent
264423,entity_e6,retained,equivalent
43098,entity_e1,retained,equivalent
43098,entity_e2,retained,equivalent
43098,entity_e3,retained,equivalent
43098,entity_e4,removed,absent
43098,entity_e5,removed,absent
80185,entity_e1,retained,equivalent
80185,entity_e2,retained,equivalent
80185,entity_e3,retained,equivalent
80185,entity_e4,retained,equivalent
80185,entity_e5,removed,absent
80185,entity_e6,retained,equivalent
120357,entity_e1,unresolved,collection_change
120357,entity_e2,unresolved,collection_change
120357,entity_e3,removed,absent
120357,entity_e4,removed,absent
