length_group,H,S,count,full_group_denominator,full_group_fraction
shorter,lost,lost,21,395,0.053164556962025315
shorter,lost,unchanged,2,395,0.005063291139240506
shorter,lost,gained,4,395,0.010126582278481013
shorter,lost,mixed,91,395,0.23037974683544304
shorter,unchanged,lost,18,395,0.04556962025316456
shorter,unchanged,unchanged,2,395,0.005063291139240506
shorter,unchanged,gained,5,395,0.012658227848101266
shorter,unchanged,mixed,81,395,0.20506329113924052
shorter,gained,lost,3,395,0.007594936708860759
shorter,gained,unchanged,1,395,0.002531645569620253
shorter,gained,gained,2,395,0.005063291139240506
shorter,gained,mixed,38,395,0.09620253164556962
shorter,mixed,lost,5,395,0.012658227848101266
shorter,mixed,unchanged,1,395,0.002531645569620253
shorter,mixed,gained,1,395,0.002531645569620253
shorter,mixed,mixed,43,395,0.10886075949367088
unchanged,lost,lost,0,1,0.0
unchanged,lost,unchanged,0,1,0.0
unchanged,lost,gained,0,1,0.0
unchanged,lost,mixed,1,1,1.0
unchanged,unchanged,lost,0,1,0.0
unchanged,unchanged,unchanged,0,1,0.0
unchanged,unchanged,gained,0,1,0.0
unchanged,unchanged,mixed,0,1,0.0
unchanged,gained,lost,0,1,0.0
unchanged,gained,unchanged,0,1,0.0
unchanged,gained,gained,0,1,0.0
unchanged,gained,mixed,0,1,0.0
unchanged,mixed,lost,0,1,0.0
unchanged,mixed,unchanged,0,1,0.0
unchanged,mixed,gained,0,1,0.0
unchanged,mixed,mixed,0,1,0.0
longer,lost,lost,0,4,0.0
longer,lost,unchanged,0,4,0.0
longer,lost,gained,0,4,0.0
longer,lost,mixed,1,4,0.25
longer,unchanged,lost,0,4,0.0
longer,unchanged,unchanged,0,4,0.0
longer,unchanged,gained,0,4,0.0
longer,unchanged,mixed,1,4,0.25
longer,gained,lost,1,4,0.25
longer,gained,unchanged,0,4,0.0
longer,gained,gained,0,4,0.0
longer,gained,mixed,0,4,0.0
longer,mixed,lost,0,4,0.0
longer,mixed,unchanged,0,4,0.0
longer,mixed,gained,0,4,0.0
longer,mixed,mixed,0,4,0.0
