pair_id,original_words,steer_words,word_reduction,length_group,matrix_classifiable,supported_change,hallucination_change,hallucination_unchanged_subtype
38438,67,53,0.208955223880597,shorter,True,mixed,unchanged,both_zero_confirmed
398726,110,54,0.509090909090909,shorter,True,mixed,lost,
260370,93,21,0.7741935483870968,shorter,True,lost,lost,
113173,85,24,0.7176470588235294,shorter,True,mixed,unchanged,both_zero_confirmed
64189,99,36,0.6363636363636364,shorter,True,mixed,lost,
18291,68,32,0.5294117647058824,shorter,True,mixed,unchanged,both_zero_confirmed
359751,80,37,0.5375,shorter,True,mixed,unchanged,both_zero_confirmed
404462,82,19,0.7682926829268293,shorter,False,mixed,unresolved,
326667,70,7,0.9,shorter,False,mixed,unresolved,
396768,89,30,0.6629213483146067,shorter,True,lost,unchanged,both_zero_confirmed
342770,66,44,0.3333333333333333,shorter,True,mixed,gained,
487391,64,13,0.796875,shorter,False,mixed,unresolved,
542511,99,49,0.5050505050505051,shorter,False,mixed,unresolved,
525322,61,39,0.36065573770491804,shorter,False,unresolved,lost,
279305,65,35,0.46153846153846156,shorter,False,mixed,unresolved,
45472,89,41,0.5393258426966292,shorter,False,unresolved,unresolved,
102609,90,29,0.6777777777777778,shorter,True,mixed,lost,
403482,99,73,0.26262626262626265,shorter,True,mixed,mixed,
45388,93,27,0.7096774193548387,shorter,True,mixed,unchanged,both_zero_confirmed
281711,116,41,0.646551724137931,shorter,False,mixed,unresolved,
268717,102,41,0.5980392156862745,shorter,True,mixed,mixed,
318854,114,56,0.5087719298245614,shorter,True,mixed,lost,
402992,72,50,0.3055555555555556,shorter,True,mixed,unchanged,both_zero_confirmed
321176,104,36,0.6538461538461539,shorter,True,mixed,unchanged,both_zero_confirmed
34520,94,13,0.8617021276595744,shorter,False,unresolved,mixed,
379542,93,32,0.6559139784946236,shorter,True,mixed,lost,
340654,105,65,0.38095238095238093,shorter,True,mixed,lost,
40705,109,37,0.6605504587155964,shorter,True,mixed,lost,
198120,109,64,0.41284403669724773,shorter,True,mixed,lost,
469671,115,51,0.5565217391304348,shorter,False,mixed,unresolved,
402623,115,12,0.8956521739130435,shorter,True,mixed,lost,
308391,71,6,0.9154929577464789,shorter,True,lost,lost,
289392,108,46,0.5740740740740741,shorter,True,mixed,lost,
451915,83,47,0.43373493975903615,shorter,True,mixed,unchanged,both_zero_confirmed
25986,98,51,0.47959183673469385,shorter,True,mixed,mixed,
270593,105,9,0.9142857142857143,shorter,True,mixed,unchanged,both_zero_confirmed
295574,104,56,0.46153846153846156,shorter,True,mixed,gained,
55244,114,48,0.5789473684210527,shorter,False,unresolved,unresolved,
277326,102,23,0.7745098039215687,shorter,True,mixed,lost,
