pair_id,denominator,retained,removed,modified,unresolved,retention_lower,retention_upper,loss_lower,loss_upper,decided_only_retention,decided_coverage
102609,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
103485,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
107558,0,0,0,0,0,,,,,,
10837,0,0,0,0,0,,,,,,
110196,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
112437,0,0,0,0,0,,,,,,
112702,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
113173,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
113246,0,0,0,0,0,,,,,,
113333,0,0,0,0,0,,,,,,
116202,0,0,0,0,0,,,,,,
116887,0,0,0,0,0,,,,,,
1180,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
118839,0,0,0,0,0,,,,,,
120234,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
120340,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
120357,0,0,0,0,0,,,,,,
120806,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
121876,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
128515,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
132317,0,0,0,0,0,,,,,,
133819,2,0,1,1,0,0.0,0.0,1.0,1.0,0.0,1.0
136140,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
136466,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
137967,0,0,0,0,0,,,,,,
138119,0,0,0,0,0,,,,,,
138549,0,0,0,0,0,,,,,,
140010,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
1404,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
141256,0,0,0,0,0,,,,,,
142826,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
143132,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
145073,0,0,0,0,0,,,,,,
150098,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
150639,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
15113,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
154173,0,0,0,0,0,,,,,,
158414,0,0,0,0,0,,,,,,
159736,0,0,0,0,0,,,,,,
160004,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
161022,0,0,0,0,0,,,,,,
162530,0,0,0,0,0,,,,,,
164497,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
1682,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
168543,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
168583,1,0,0,0,1,0.0,1.0,0.0,1.0,,0.0
169273,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
169436,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
17409,0,0,0,0,0,,,,,,
180167,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
180411,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
180917,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
18291,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
183469,3,0,0,0,3,0.0,1.0,0.0,1.0,,0.0
183965,0,0,0,0,0,,,,,,
183970,0,0,0,0,0,,,,,,
190015,2,1,1,0,0,0.5,0.5,0.5,0.5,0.5,1.0
190395,3,1,2,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
19079,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
191054,0,0,0,0,0,,,,,,
193349,0,0,0,0,0,,,,,,
195269,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
1960,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
196989,0,0,0,0,0,,,,,,
197666,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
198120,0,0,0,0,0,,,,,,
198590,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
201141,0,0,0,0,0,,,,,,
204661,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
20487,0,0,0,0,0,,,,,,
209322,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
209548,0,0,0,0,0,,,,,,
210394,2,2,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
210408,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
21046,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
212421,0,0,0,0,0,,,,,,
213432,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
214124,0,0,0,0,0,,,,,,
216243,0,0,0,0,0,,,,,,
220277,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
221044,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
221536,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
221914,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
223874,0,0,0,0,0,,,,,,
22461,0,0,0,0,0,,,,,,
226404,0,0,0,0,0,,,,,,
226701,0,0,0,0,0,,,,,,
226802,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
228867,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
230220,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
230739,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
232679,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
233023,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
235864,0,0,0,0,0,,,,,,
236246,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
236747,2,0,2,0,0,0.0,0.0,1.0,1.0,0.0,1.0
236868,0,0,0,0,0,,,,,,
237517,0,0,0,0,0,,,,,,
237759,0,0,0,0,0,,,,,,
239005,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
240323,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
242422,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
245173,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,1.0
246252,0,0,0,0,0,,,,,,
249883,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0
251367,0,0,0,0,0,,,,,,
