POS,original,steer,net_reduction,within_pos_reduction,share_of_word_reduction
NOUN,9659,4980,4679,0.4844186768816648,0.25652412280701753
DET,6917,3300,3617,0.5229145583345381,0.19830043859649124
VERB,4461,1881,2580,0.5783456624075319,0.14144736842105263
ADP,4697,2148,2549,0.542686821375346,0.13974780701754386
ADJ,2798,1215,1583,0.5657612580414582,0.08678728070175439
ADV,999,305,694,0.6946946946946947,0.03804824561403509
PRON,1419,813,606,0.427061310782241,0.033223684210526315
CCONJ,1416,813,603,0.4258474576271186,0.03305921052631579
AUX,1653,1115,538,0.3254688445251059,0.02949561403508772
PART,405,85,320,0.7901234567901234,0.017543859649122806
SCONJ,293,70,223,0.7610921501706485,0.012225877192982456
NUM,400,211,189,0.4725,0.010361842105263157
PROPN,74,15,59,0.7972972972972973,0.0032346491228070176
